OBJECTID,linqmap_type,linqmap_subtype,pubDate,linqmap_reportDescription,linqmap_city,linqmap_street,linqmap_nearby,linqmap_roadType,linqmap_reportMood,linqmap_reportRating,linqmap_expectedBeginDate,linqmap_expectedEndDate,linqmap_magvar,nComments,linqmap_reliability,update_date,test_set
94015,ROAD_CLOSED,ROAD_CLOSED_EVENT,04/22/2022 12:08:20,,תל אביב - יפו,שתולים,,1,0,0,,,0,0,10,1653472382741,0
94020,ROAD_CLOSED,ROAD_CLOSED_EVENT,08/12/2021 14:00:04,,תל אביב - יפו,בן סרוק,,1,0,0,,,0,0,10,1653472382744,0
94024,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/10/2022 11:37:09,,תל אביב - יפו,ארלוזורוב,,2,0,0,,,0,0,10,1653472382745,0
94025,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 09:38:18,,תל אביב - יפו,עולי ציון,,2,0,5,,,317,0,7,1653472382745,0
94201,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/03/2022 09:20:12,,תל אביב - יפו,,,2,0,0,,,0,0,10,1653472382810,1
94206,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,10,1653472382811,1
94207,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 09:43:11,,תל אביב - יפו,סירקין,,1,0,5,,,36,0,5,1653472382812,1
94211,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/03/2022 09:20:12,,תל אביב - יפו,,,2,0,0,,,0,0,10,1653472382813,1
94479,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/25/2022 09:12:37,,תל אביב - יפו,דרך חיל השריון,,2,0,5,,,184,0,10,1653472382902,2
97015,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 10:42:30,,תל אביב - יפו,שינקין,,2,0,5,,,104,0,6,1653475982594,2
97033,ROAD_CLOSED,ROAD_CLOSED_EVENT,04/22/2022 12:08:20,,תל אביב - יפו,שתולים,,1,0,0,,,0,0,10,1653475982599,2
97034,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 10:42:32,,תל אביב - יפו,ערבי נחל,,2,0,5,,,312,0,5,1653475982599,2
97041,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/10/2022 11:37:10,,תל אביב - יפו,ארלוזורוב,,2,0,0,,,0,0,10,1653475982602,3
97043,ROAD_CLOSED,ROAD_CLOSED_EVENT,12/10/2021 12:47:37,,תל אביב - יפו,הר ציון,,2,0,0,,,0,0,10,1653475982602,3
97044,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/30/2022 17:20:25,,תל אביב - יפו,קפריסין,,1,0,0,,,0,0,10,1653475982602,3
97047,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 10:49:39,,תל אביב - יפו,לבנדה,,2,0,5,,,14,0,6,1653475982603,3
97063,JAM,,05/25/2022 10:36:32,,תל אביב - יפו,דרך חיל השריון,,2,0,5,,,9,0,6,1653475982608,4
97064,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,,תל אביב - יפו,בן יהודה,,2,0,0,,,0,0,10,1653475982608,4
97070,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/03/2022 14:42:06,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,10,1653475982610,4
97084,ROAD_CLOSED,ROAD_CLOSED_EVENT,01/10/2022 14:00:03,,תל אביב - יפו,השומרון,,2,0,0,,,0,0,10,1653475982614,4
97384,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,,תל אביב - יפו,בן יהודה,,2,0,0,,,0,0,10,1653475982713,5
97385,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/04/2022 17:00:00,,תל אביב - יפו,בן סרוק,,1,0,0,,,0,0,7,1653475982714,5
97388,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 10:43:27,,תל אביב - יפו,הטייסים,,2,0,5,,,343,0,6,1653475982715,5
